epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,83.823,0.83612,0.41846,0.86691,0.99399,1,0.995,0.7808,1.07866,0.46677,0.88382,0.000932603,0.000932603,0.000932603
91,84.943,0.80325,0.40278,0.86808,0.99426,1,0.995,0.77931,1.10103,0.47646,0.89326,0.000924352,0.000924352,0.000924352
92,86.035,0.85209,0.41693,0.86582,0.99594,0.99375,0.995,0.78013,1.05487,0.51305,0.88369,0.0009161,0.0009161,0.0009161
93,87.163,0.80111,0.39462,0.86349,0.98064,0.95271,0.97272,0.75116,1.06433,0.53163,0.88222,0.000907848,0.000907848,0.000907848
94,89.588,0.85363,0.41464,0.87447,0.94025,0.92513,0.95028,0.71233,1.08302,0.58347,0.895,0.000899597,0.000899597,0.000899597
95,90.769,0.83001,0.40421,0.86304,0.91615,0.79573,0.86053,0.64375,1.21441,0.86512,0.94737,0.000891345,0.000891345,0.000891345
96,91.97,0.84768,0.42269,0.87545,0.98006,1,0.995,0.78155,1.10891,0.48841,0.89182,0.000883093,0.000883093,0.000883093
97,93.073,0.79254,0.40981,0.85772,0.98086,1,0.995,0.79675,1.03302,0.46136,0.875,0.000874842,0.000874842,0.000874842
98,94.588,0.84158,0.41383,0.8743,0.99378,1,0.995,0.80965,1.009,0.45612,0.86792,0.00086659,0.00086659,0.00086659
99,96.063,0.81155,0.40977,0.85843,0.99458,1,0.995,0.82378,0.99902,0.44677,0.86592,0.000858338,0.000858338,0.000858338
100,97.554,0.79153,0.38461,0.85944,0.9915,1,0.995,0.80388,1.02102,0.44881,0.86875,0.000850087,0.000850087,0.000850087
101,98.652,0.82648,0.40057,0.87255,0.9924,1,0.995,0.77905,1.00821,0.4565,0.86633,0.000841835,0.000841835,0.000841835
102,99.774,0.79618,0.39481,0.86194,0.99421,1,0.995,0.78918,1.01761,0.46731,0.87045,0.000833583,0.000833583,0.000833583
103,101,0.81651,0.40419,0.85568,0.99527,1,0.995,0.798,1.01324,0.45641,0.87073,0.000825332,0.000825332,0.000825332
104,102.086,0.78787,0.38805,0.86093,0.99691,0.99967,0.995,0.78201,1.0366,0.46028,0.88209,0.00081708,0.00081708,0.00081708
105,103.359,0.78457,0.37706,0.85223,0.99662,0.99865,0.995,0.7805,1.03296,0.46797,0.88222,0.000808828,0.000808828,0.000808828
106,104.484,0.795,0.38808,0.86881,0.99406,0.975,0.99273,0.78969,1.02108,0.46068,0.8793,0.000800577,0.000800577,0.000800577
107,106.124,0.78483,0.38675,0.86195,0.9983,1,0.995,0.79203,1.01516,0.44718,0.87834,0.000792325,0.000792325,0.000792325
108,107.902,0.80927,0.40435,0.87226,0.9861,1,0.995,0.80364,0.99501,0.46013,0.86761,0.000784073,0.000784073,0.000784073
109,109.222,0.81086,0.39885,0.86587,0.98218,1,0.995,0.80622,0.98525,0.45742,0.8658,0.000775822,0.000775822,0.000775822
110,110.516,0.79054,0.39765,0.8595,0.97469,1,0.995,0.80727,1.01888,0.47738,0.87674,0.00076757,0.00076757,0.00076757
